"MaterialName";"Category";"AdditionalNotes";"Quantity";"NVL";"BEN";"PercentComplete";"Fixture";"AssetNumber";"BEN4LPR";"CurrentState";"IndividuallyAssigned";"LamPartNumber";"LaptopAssignedBEDShift";"LaptopAssignedBENShift";"LaptopAssignedFEDShift";"LaptopAssignedFENShift";"LaptopAssignedMF";"LaptopDepartment";"RecordIDNumber";"SerialNumber";"materialPK"
"#05";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";167;"";5
"#37";"Facilities Kit/Cage";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";199;"";6
"#06";"Facilities Kit/Cage";"";0;"";"2180921A";"45A";0;"";"2180921A";"Unavailable to Loan";0;"";"";"";"";"";"";"";168;"";7
"#38";"Facilities Kit/Cage";"";0;"";"2194071D";"12A";0;"";"2194071D";"Unavailable to Loan";0;"";"";"";"";"";"";"";200;"";8
"#39";"Facilities Kit/Cage";"";0;"";"2228331A";"79A";0;"";"2228331A";"Unavailable to Loan";0;"";"";"";"";"";"";"";201;"";9
"#40";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";202;"";10
"#41";"Facilities Kit/Cage";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";203;"";11
"#42";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";204;"";12
"1/2"" Lug MISC""";"Cables (Provide part number)";"";108;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1709;"";13
"1/4"" Universal Lug""";"Cables (Provide part number)";"";21;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1702;"";14
"1/8"" Male to 1/4"""" Female AR Gas Adapter""";"Other (Please describe)";"";2;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2115;"";15
"10-150 in/lb Torque Wrench";"Tools- Torque Wrench";"";1;"";"L01";"";0;"";"L01";"Cleanroom Item";0;"";"";"";"";"";"";"";1124;"";16
"100 Amp Male Hubble";"Other (Please describe)";"";11;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1931;"";17
"10D";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A205253";"";"Cleanroom Item";0;"";"";"";"";"";"";"Final Test";958;"pc0h92wm";18
"#07";"Facilities Kit/Cage";"";0;"";"2201481A";"82A";0;"";"2201481A";"Unavailable to Loan";0;"";"";"";"";"";"";"";169;"";19
"#08";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";170;"";20
"#09";"Facilities Kit/Cage";"";0;"";"2275921B";"04A";0;"";"2275921B";"Unavailable to Loan";0;"";"";"";"";"";"";"";171;"";21
"#10";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";172;"";22
"#10 12-10AWG Lug";"Cables (Provide part number)";"";51;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1724;"";23
"#10 4AWG Lug";"Cables (Provide part number)";"";37;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1725;"";24
"#10 6AWG Lug";"Cables (Provide part number)";"";91;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1727;"";25
"#43";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";205;"";26
"#10 8 AWG Lug";"Cables (Provide part number)";"";259;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1726;"";27
"#44";"Facilities Kit/Cage";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";206;"";28
"#10 8AWG Lug";"Cables (Provide part number)";"";36;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1723;"";29
"#100";"Facilities Kit/Cage";"";0;"";"2194071A";"62A";0;"";"2194071A";"Unavailable to Loan";0;"";"";"";"";"";"";"";1315;"";30
"#45";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";207;"";31
"22-147395-00";"Other (Please describe)";"FTG, CAP 1/4""""";54;"";"";"";0;"";"";"Available to Loan";0;"22-147395-00";"";"";"";"";"";"";1800;"";32
"#101";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1317;"";33
"22-149014-00";"Other (Please describe)";"1/2"" SST Nut""";86;"";"";"";0;"";"";"Available to Loan";0;"22-149014-00";"";"";"";"";"";"";1806;"";34
"#102";"Facilities Kit/Cage";"";1;"";"1997051B";"30A";0;"";"1997051B";"Unavailable to Loan";0;"";"";"";"";"";"";"";1318;"";35
"#46";"Facilities Kit/Cage";"";0;"";"2247021A";"32A";0;"";"2247021A";"Unavailable to Loan";0;"";"";"";"";"";"";"";208;"";36
"#103";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1319;"";37
"#47";"Facilities Kit/Cage";"";0;"";"2220781A";"75A";0;"";"2220781A";"Unavailable to Loan";0;"";"";"";"";"";"";"";209;"";38
"#104";"Facilities Kit/Cage";"";0;"";"2225141C";"93A";0;"";"2225141C";"Unavailable to Loan";0;"";"";"";"";"";"";"";1316;"";39
"22-155125-00";"Other (Please describe)";"1/2"" Port Connector to 1/4"""" Male""";7;"";"";"";0;"";"";"Available to Loan";0;"22-155125-00";"";"";"";"";"";"";1856;"";40
"#48";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";210;"";41
"10N";"SWIC-Supported GIS Laptop";"T460
";1;"";"";"";0;"A205836";"";"Cleanroom Item";0;"";"";"Jeffrey Mikolay <60588525.cp33>";"";"Ruben Aguirre <63413688.btt9>";"";"Final Test";596;"";42
"#105";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1325;"";43
"#49";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";211;"";44
"22-160947-00";"Other (Please describe)";"Union Tee 1"" Tube - 3 Ports""";12;"";"";"";0;"";"";"Available to Loan";0;"22-160947-00";"";"";"";"";"";"";1876;"";45
"#106";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1379;"";46
"11D";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A3000100";"";"Cleanroom Item";0;"";"";"";"Sean Wilcox <60343814.jnwe>";"";"";"Final Test";635;"";47
"11N";"SWIC-Supported GIS Laptop";"T460
3/10/2020  Mouse/kb does not work on workstations.";0;"";"";"";0;"A205845";"";"Missing/Lost";0;"";"";"";"";"";"";"Final Test";806;"";48
"22-164902-00";"Other (Please describe)";"Coupling 1/2"" VCR Female""";5;"";"";"";0;"";"";"Available to Loan";0;"22-164902-00";"";"";"";"";"";"";1754;"";49
"#107";"Facilities Kit/Cage";"";0;"";"2259861A";"92T";0;"";"2259861A";"Unavailable to Loan";0;"";"";"";"";"";"";"";1380;"";50
"22-170559-00";"Other (Please describe)";"3/8"" Body Quick Connect""";14;"";"";"";0;"";"";"Available to Loan";0;"22-170559-00";"";"";"";"";"";"";1902;"";51
"#50";"Facilities Kit/Cage";"";0;"";"2165781A";"0A";0;"";"2165781A";"Unavailable to Loan";0;"";"";"";"";"";"";"";212;"";52
"#108";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1381;"";53
"#51";"Facilities Kit/Cage";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";213;"";54
"#109";"Facilities Kit/Cage";"";0;"";"2227041R";"100A";0;"";"2227041R";"Unavailable to Loan";0;"";"";"";"";"";"";"";1382;"";55
"12D";"SWIC-Supported GIS Laptop";"T450 - ";1;"";"";"";0;"A204209";"";"Cleanroom Item";0;"";"Mike Jouklaris <62416950.vvjf>";"";"";"";"";"Final Test";534;"";56
"#11";"Facilities Kit/Cage";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";173;"";57
"#52";"Facilities Kit/Cage";"";0;"";"2230121R";"55A";0;"";"2230121R";"Unavailable to Loan";0;"";"";"";"";"";"";"";214;"";58
"12N";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A205842";"";"Cleanroom Item";0;"";"";"Phillip Anson <62552833.tuir>";"";"";"";"Final Test";601;"";59
"#110";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1383;"";60
"132738";"Other (Please describe)";"Female J26 BD Door Motion Interlock";6;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2068;"";61
"#53";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";215;"";62
"#111";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1384;"";63
"13AC4710";"Cables (Provide part number)";"16AWG Ferrule";202;"";"";"";0;"";"";"Unavailable to Loan";0;"MFG# 13AC4710";"";"";"";"";"";"";1719;"";64
"#112";"Facilities Kit/Cage";"";0;"";"2228331B";"16A";0;"";"2228331B";"Unavailable to Loan";0;"";"";"";"";"";"";"";1385;"";65
"#113";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1386;"";66
"#54";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";216;"";67
"#55";"Facilities Kit/Cage";"";0;"";"2197811A";"74T";0;"";"2197811A";"Unavailable to Loan";0;"";"";"";"";"";"";"";217;"";68
"13D";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A205857";"";"Cleanroom Item";0;"";"Juan Rivera Mena <62719636.dxhm>";"";"Mark Shields <60341810.f8up>";"";"";"Final Test";610;"";69
"#114";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1387;"";70
"#56";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";218;"";71
"13N";"SWIC-Supported GIS Laptop";"T470 - Missing/Sticking keys";1;"";"";"";0;"A301139";"";"Cleanroom Item";0;"";"";"Heriberto Adame <60342018.bnme>";"";"";"";"Final Test";639;"";72
"14D";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A204917";"";"Cleanroom Item";0;"";"Wyatt Pausz <62454555.di52>";"";"Thomas Courcy <62831427.qerc>";"";"";"Final Test";978;"pc0fe5uw";73
"#115";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1388;"";74
"#116";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1504;"";75
"#57";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";219;"";76
"#117";"Facilities Kit/Cage";"";0;"";"2188611A";"76T";0;"";"2188611A";"Unavailable to Loan";0;"";"";"";"";"";"";"";1505;"";77
"#58";"Facilities Kit/Cage";"Holds Mach4 facilites kit. This should be treated like a cage and not broken down. Lives  Row 2  Section J.";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";220;"";78
"22-173305-00";"Other (Please describe)";"1/2"" Port Connector to 5/16"""" Male""";9;"";"";"";0;"";"";"Available to Loan";0;"22-173305-00";"";"";"";"";"";"";1857;"";79
"14N";"SWIC-Supported GIS Laptop";"T470";1;"";"";"";0;"A301311";"";"Cleanroom Item";0;"";"";"Vicente Valdovinos Tapia <60580615.dbzr>";"";"Joseph Chavez <60358151.xpw3>";"";"Final Test";418;"pc0jwclc";80
"22-251816-00";"Other (Please describe)";"3/4"" SST Front Ferrule""";50;"";"";"";0;"";"";"Available to Loan";0;"22-251816-00";"";"";"";"";"";"";1819;"";81
"#118";"Facilities Kit/Cage";"";0;"";"2092111D";"21T";0;"";"2092111D";"Unavailable to Loan";0;"";"";"";"";"";"";"";1506;"";82
"22-251828-00";"Other (Please describe)";"3/4"" SST Nut""";10;"";"";"";0;"";"";"Available to Loan";0;"22-251828-00";"";"";"";"";"";"";1807;"";83
"#59";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";221;"";84
"15-105084-00";"Other (Please describe)";"Shim, 2 x 2 x 0.05, 5/8"" Slot W 300SST""";56;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2214;"";85
"#119";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1507;"";86
"#12";"Facilities Kit/Cage";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";174;"";87
"15-122178-00";"Other (Please describe)";"Carrier Ring- Final Test";13;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1733;"";88
"22-262847-00";"Other (Please describe)";"Valve Plug, Rotary, 1/4"" A-LOK SST""";8;"";"";"";0;"";"";"Available to Loan";0;"22-262847-00";"";"";"";"";"";"";1885;"";89
"#60";"Facilities Kit/Cage";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";222;"";90
"15-127149-00";"Other (Please describe)";"Grapple, Pedestal, Lifting TL, SEQ";4;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2220;"";91
"#120";"Facilities Kit/Cage";"";0;"";"2255581A";"53T";0;"";"2255581A";"Unavailable to Loan";0;"";"";"";"";"";"";"";1508;"";92
"22-263347-00";"Other (Please describe)";"1/4"" SST Ferrule Set""";604;"";"";"";0;"";"";"Available to Loan";0;"22-263347-00";"";"";"";"";"";"";1816;"";93
"#121";"Facilities Kit/Cage";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1509;"";94
"#61";"Facilities Kit/Cage";"";0;"";"2135231A";"79T";0;"";"2135231A";"Unavailable to Loan";0;"";"";"";"";"";"";"";223;"";95
"22-267684-00";"Other (Please describe)";"FTG, Tube Adapter, 3/8 to 9/16-18";9;"";"";"";0;"";"";"Available to Loan";0;"22-267684-00";"";"";"";"";"";"";1763;"";96
"#122";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1510;"";97
"22-277592-00";"Other (Please describe)";"3/4"" Port Connector to 1/2"""" Port Connector""";14;"";"";"";0;"";"";"Available to Loan";0;"22-277592-00";"";"";"";"";"";"";1842;"";98
"#62";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";224;"";99
"15-270244-00";"Other (Please describe)";"Carrier Ring- Final Test";2;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1735;"";100
"#123";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1511;"";101
"15-310696-00";"Other (Please describe)";"EMO Bracket";4;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2139;"";102
"22-280486-00";"Other (Please describe)";"FTG, Pipe, Adapter, 1/4NPT, SST";0;"";"";"";0;"";"";"Unavailable to Loan";0;"22-280486-00";"";"";"";"";"";"";1886;"";103
"#63";"Facilities Kit/Cage";"";0;"";"2275931A";"92A";0;"";"2275931A";"Unavailable to Loan";0;"";"";"";"";"";"";"";225;"";104
"#124";"Facilities Kit/Cage";"";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1512;"";105
"22-284138-00";"Other (Please describe)";"FTG, VCR, Conn, Female, 1/4"" VCR Elbow""";22;"";"";"";0;"";"";"Available to Loan";0;"22-284138-00";"";"";"";"";"";"";1752;"";106
"15-31164-000";"Other (Please describe)";"Carrier Ring- Final Test";3;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1731;"";107
"#125";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1513;"";108
"22-306522-00";"Other (Please describe)";"1"" Port Connector""";13;"";"";"";0;"";"";"Available to Loan";0;"22-306522-00";"";"";"";"";"";"";1814;"";109
"#126";"Facilities Kit/Cage";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";1514;"";110
