MaterialName,Category,AdditionalNotes,Quantity,NVL,BEN,PercentComplete,Fixture,AssetNumber,BEN4LPR,CurrentState,IndividuallyAssigned,LamPartNumber,LaptopAssignedBEDShift,LaptopAssignedBENShift,LaptopAssignedFEDShift,LaptopAssignedFENShift,LaptopAssignedMF,LaptopDepartment,RecordIDNumber,SerialNumber
#01,Facilities Kit/Cage,,0,,,,0,,,Unavailable to Loan,0,,,,,,,,163,
#02,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,164,
#03,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,165,
#04,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,166,
#05,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,167,
#06,Facilities Kit/Cage,,0,,2180921A,45A,0,,2180921A,Unavailable to Loan,0,,,,,,,,168,
#07,Facilities Kit/Cage,,0,,2201481A,82A,0,,2201481A,Unavailable to Loan,0,,,,,,,,169,
#08,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,170,
#09,Facilities Kit/Cage,,0,,2275921B,04A,0,,2275921B,Unavailable to Loan,0,,,,,,,,171,
#10,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,172,
#10 12-10AWG Lug,Cables (Provide part number),,51,,,,0,,,Unavailable to Loan,0,,,,,,,,1724,
#10 4AWG Lug,Cables (Provide part number),,37,,,,0,,,Unavailable to Loan,0,,,,,,,,1725,
#10 6AWG Lug,Cables (Provide part number),,91,,,,0,,,Unavailable to Loan,0,,,,,,,,1727,
#10 8 AWG Lug,Cables (Provide part number),,259,,,,0,,,Unavailable to Loan,0,,,,,,,,1726,
#10 8AWG Lug,Cables (Provide part number),,36,,,,0,,,Unavailable to Loan,0,,,,,,,,1723,
#100,Facilities Kit/Cage,,0,,2194071A,62A,0,,2194071A,Unavailable to Loan,0,,,,,,,,1315,
#101,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1317,
#102,Facilities Kit/Cage,,1,,1997051B,30A,0,,1997051B,Unavailable to Loan,0,,,,,,,,1318,
#103,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1319,
#104,Facilities Kit/Cage,,0,,2225141C,93A,0,,2225141C,Unavailable to Loan,0,,,,,,,,1316,
#105,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1325,
#106,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1379,
#107,Facilities Kit/Cage,,0,,2259861A,92T,0,,2259861A,Unavailable to Loan,0,,,,,,,,1380,
#108,Facilities Kit/Cage,,1,,,,0,,,Available to Loan,0,,,,,,,,1381,
#109,Facilities Kit/Cage,,0,,2227041R,100A,0,,2227041R,Unavailable to Loan,0,,,,,,,,1382,
